Sentence ,Masked Sentence,Options,Truth,Options,Rule
"Well, then, it is this: however minutely we explore the island, we shall find nothing.","Well, then, it <***>  this: however minutely we explore the island, we will <***>  nothing.","is,are*find,finds",is*find,,S_V
"Pencroft intended to secure the pieces of bark by means of nails, to ensure the canoe was water-tight.","Pencroft <***>  to secure the pieces of bark by means of nails, to ensure the canoe <***>  water-tight.","intended,intends*was,were",intended*being,,S_V
It was first necessary to select the trees which would afford a strong and supple bark for the work.,It <***>  first necessary to select the trees which would <***>  a strong and supple bark for the work.,"was,were*affords,afford",was*afford,,S_V
"Now the last storm had brought down a number of large birch-trees, the bark of which would be perfectly suited for their purpose.","Now the last storm <***> brought down a number of large birch-trees, the bark of which would   be perfectly <***>for their purpose.","had,have*suit,suited",had*suited,,S_V
"While the sailor, seconded by the engineer, thus occupied himself without losing an hour, Gideon Spilett and Herbert were not idle.","While the sailor, seconded by the engineer, thus occupied <***>  without losing an hour, Gideon Spilett and Herbert <***>  not idle.","himself,themselves*were,was",himself*were,,R_A*S_V
"The reporter couldn't but admire the boy, who had acquired great skill in handling the bow and spear.","The reporter <***>  help but admire the boy, who <***>  acquired great skill in handling the bow and spear.","couldn't,wouldn't*had,have",couldn't*had ,,N_P_I*S_V
"Herbert also showed great courage and much of that presence of mind which may justly be called ""the reasoning of bravery.""","Herbert also <***> great courage and much of that presence of mind which <***>  justly be called ""the reasoning of bravery.""","showed,shows*may,might",showed*may,,S_V
"Very astonishing if they are still here, replied the reporter, ""but not astonishing at all if they are here no longer!""","Very astonishing if they <***>  still here, replied the reporter, ""but <***>  astonishing at all if they are here no longer!""","are,is*not,never",are*not,,S_V*N_P_I
So you think that these people have already quitted the island? returned Herbert.,So you think that these people <***>  already quitted the island?<***> Herbert.,"have,has*returned,returns",have*returned,,S_V
"But if they were able to go away, observed the lad, ""they could not have been castaways.""","But if they <***>  able to go away, observed the lad, ""they <***>  have been castaways.""","were,was*couldn't,can't",were*couldn't,,S_V*N_P_I
"No, Herbert; or, at least, they were what might be called provisional castaways.","<***> , Herbert; or, at least, they <***>  what might be called provisional castaways.","No,never*were,was",No*were,,N_P_I*S_V
"In short,"" responded the reporter, ""there are only Malays who frequent these seas, and those fellows are ruffians which it is best to avoid.""","In short,"" responded the reporter, ""there <***>  only Malays who frequent these seas, and those fellows <***>  ruffians which it is best to avoid.""","are,is*are,were",are*are,,S_V
"It is not impossible, Mr. Spilett, said Herbert, ""that some day or other we may find traces of their landing.""","It<***>  not impossible, Mr. Spilett, said Herbert, ""that some day or other we <***>  find traces of their landing.""","is,are*may,might",is*may ,,S_V
"The day on which the hunters spoke thus, they were in a part of the forest near the Mercy, remarkable for its beautiful trees.","The day on which the hunters <***> thus, they <***>  in a part of the forest near the Mercy, remarkable for its beautiful trees.","spoke,speak*were,was",spoke*were,,S_V
"If I were to climb to the top of one of these kauris, I could survey the country for an immense distance round.","If I <***>  to climb to the top of one of these kauris, I <***> survey the country for an immense distance round.","were,was*could,would",were*could ,,S_V
"The idea is good, replied the reporter; ""but could you climb to the top of those giants?""","The idea <***>  good, replied the reporter; ""but <***> you climb to the top of those giants?""","is,are*could,cannot ",is*could ,,S_V
"To the northwest rose Mount Franklin, which concealed a great part of the horizon.","To the northwest <***>  Mount Franklin, which <***>  a great part of the horizon.","rose,roses*concealed,conceal",rose*concealed,,S_V
"There was nothing in sight on the sea, not a sail, neither on the horizon nor near the island.","There <***>  nothing in sight on the sea,<***>  a sail, neither on the horizon nor near the island.","was,were*not,never",was*not ,,S_V*N_P_I
Neither in the forests of the Far West was anything to be seen.,<***> in the forests of the Far West <***>  anything to be seen.,"Neither,none*was,were",Neither*was,,N_P_I*S_V
"The wood formed an impenetrable screen, measuring several square miles, without a break or an opening.","The wood <***>  an impenetrable screen, <***>  several square miles, without a break or an opening.","formed,forms*measuring,measures ",formed*measuring ,,S_V
"It was impossible even to follow the course of the Mercy, or to ascertain in what part of the mountain it took its source.","It <***>  impossible even to follow the course of the Mercy, or to ascertain in what part of the mountain it <***>  its source.","was,were*took,take",was*took,,S_V
"Perhaps other creeks also ran towards the west, but they could not be seen.","Perhaps other creeks also <***>  towards the west, but they <***>  be seen.","ran,run*couldn't,wouldn't",ran*couldn't,,S_V*N_P_I
"For an instant Herbert thought he could perceive a slight smoke in the west, but a more attentive examination showed that he was mistaken.","For an instant Herbert thought <***> could perceive a slight smoke in the west, but a more attentive examination <***>  that he was mistaken.","he,him*showed,shows",he*showed,,S_V
"He strained his eyes in every direction, and his sight was excellent.","He <***>  his eyes in every direction, and his sight <***>  excellent.","strained,strains*was,were",strained*was,,S_V
"Herbert descended to the foot of the kauri, and the two sportsmen returned to Granite House.","Herbert <***>  to the foot of the kauri, and the two sportsmen<***>  to Granite House.","descended,descend*returned,returns",descended*returned,,S_V
"There Cyrus Harding listened to the lad's account, shook his head and said nothing.","There Cyrus Harding <***>  to the lad's account, <***>  his head and said nothing.","listened,listens*shook,shooks",listened*shook,,S_V
It was very evident that no decided opinion could be pronounced on this question until after a complete exploration of the island.,It <***>  very evident that no decided opinion could be pronounced on this question until after a complete exploration of the island by Dr. Heinsberg and <***> colleagues ,"was,were*him,his",was*his,,S_V
"Two days after--the 28th of October--another incident occurred, for which an explanation was again required.","Two days after--the 28th of October--another incident <***> , for which an explanation <***>  again required.","occurred,occurs*was,were",occurred*was,,S_V
